movie_title,actor_count,actors_list
Gone with the Wind,18,"Clark_Gable, Vivien_Leigh, Thomas_Mitchell, Barbara_O'Neil, Evelyn_Keyes, Ann_Rutherford, George_Reeves, Fred_Crane, Hattie_McDaniel, Oscar_Polk, Butterfly_McQueen, Victor_Jory, Everett_Brown, Howard_Hickman, Alicia_Rhett, Leslie_Howard, Olivia_de_Havilland, Rand_Brooks"
Good Will Hunting,9,"Robin_Williams, Matt_Damon, Ben_Affleck, Stellan_Skarsgård, Casey_Affleck, Cole_Hauser, Matt_Mercier, Alison_Folland, Vik_Sahay"
Goodfellas,17,"Robert_De_Niro, Ray_Liotta, Joe_Pesci, Lorraine_Bracco, Paul_Sorvino, Frank_Sivero, Tony_Darrow, Mike_Starr, Frank_Vincent, Chuck_Low, Henny_Youngman, Gina_Mastrogiacomo, Catherine_Scorsese, Charles_Scorsese, Suzanne_Shepherd, Debi_Mazar, Margo_Winkler"
Gran Torino,15,"Clint_Eastwood, Bee_Vang, Christopher_Carley, Ahney_Her, Brian_Haley, Geraldine_Hughes, Dreama_Walker, Brian_Howe, John_Carroll_Lynch, William_Hill, Brooke_Chia_Thao, Chee_Thao, Scott_Eastwood, Xia_Soua_Chang, Doua_Moua"
Grave of the Fireflies,0,
Green Book,17,"Viggo_Mortensen, Mahershala_Ali, Linda_Cardellini, Sebastian_Maniscalco, Dimiter_D._Marinov, Mike_Hatton, P.J._Byrne, Joe_Cortese, Mary_Agnes_Nixon, Von_Lewis, Jon_Sortland, Don_Stark, Anthony_Mangano, Paul_Sloan, Quinn_Duffy, Seth_Hurwitz, Gavin_Lyle_Foley"
Hachi A Dog's Tale,9,"Richard_Gere, Joan_Allen, Cary-Hiroyuki_Tagawa, Sarah_Roemer, Jason_Alexander, Erick_Avari, Robbie_Sublett, Tora_Hallström, Denece_Ryland"
Hacksaw Ridge,14,"Andrew_Garfield, Sam_Worthington, Luke_Bracey, Richard_Pyros, Jacob_Warner, Milo_Gibson, Darcy_Bryce, James_Lugton, Kasia_Stelmach, Hugo_Weaving, Rachel_Griffiths, Tyler_Coppin, Teresa_Palmer, Nathaniel_Buzolic"
Hamilton,15,"Lin-Manuel_Miranda, Phillipa_Soo, Leslie_Odom_Jr., Daveed_Diggs, Renée_Elise_Goldsberry, Jonathan_Groff, Chris_Jackson, Jasmine_Cephas_Jones, Okieriete_Onaodowan, Anthony_Ramos, Carleigh_Bettiol, Ariana_DeBose, Sydney_James_Harcourt, Sasha_Hutchings, Jon_Rua"
Harakiri,11,"Tatsuya_Nakadai, Akira_Ishihama, Shima_Iwashita, Tetsurô_Tanba, Masao_Mishima, Kei_Satô, Yoshio_Inaba, Hisashi_Igawa, Tatsuo_Matsumura, Akiji_Kobayashi, Ryûtarô_Gomi"
Harry Potter and the Deathly Hallows Part 2,15,"Daniel_Radcliffe, Emma_Watson, Rupert_Grint, Ralph_Fiennes, Michael_Gambon, Alan_Rickman, Evanna_Lynch, Domhnall_Gleeson, Clémence_Poésy, Warwick_Davis, John_Hurt, Helena_Bonham_Carter, Rusty_Goffe, Kelly_Macdonald, Jason_Isaacs"
Heat,18,"Al_Pacino, Robert_De_Niro, Val_Kilmer, Jon_Voight, Tom_Sizemore, Diane_Venora, Amy_Brenneman, Ashley_Judd, Mykelti_Williamson, Wes_Studi, Ted_Levine, Dennis_Haysbert, William_Fichtner, Natalie_Portman, Tom_Noonan, Kevin_Gage, Hank_Azaria, Susan_Traylor"
High and Low,16,"Toshirô_Mifune, Yutaka_Sada, Tatsuya_Nakadai, Kyôko_Kagawa, Tatsuya_Mihashi, Kenjirô_Ishiyama, Takeshi_Katô, Takashi_Shimura, Jun_Tazaki, Nobuo_Nakamura, Yûnosuke_Itô, Tsutomu_Yamazaki, Minoru_Chiaki, Eijirô_Tôno, Masao_Shimizu, Masahiko_Shimazu"
Hotel Rwanda,10,"Don_Cheadle, Sophie_Okonedo, Joaquin_Phoenix, Desmond_Dube, Hakeem_Kae-Kazim, Nick_Nolte, Fana_Mokoena, Lebo_Mashile, Antonio_David_Lyons, Leleti_Khumalo"
